0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-0.70000577,-0.86999637,-0.26999754,-1.1700019,0.5699979,-1.7700026,0.28000084,-0.16,0.26000774,-0.48999536,0.859992,-0.019993175,0.22000122,0.5600027,-0.6399979,0.26000404,0.27000427,0.22000618,-0.54999936,0.31000665
-0.73000336,-0.37999797,-0.29999548,0.09000008,0.7099958,-1.6400018,6.0126185e-06,-0.33999872,0.53000087,-1.0000033,0.87999254,-0.1200082,0.17000185,-0.28999656,-0.3199996,-0.4499974,-0.16000393,0.6400045,0.1699913,1.2799985
-0.5800083,-1.2799982,0.010004856,-1.6500003,0.6199897,-1.6300014,0.300004,0.15000133,0.21000168,-0.77000105,0.46999505,0.26000333,-0.20999956,0.9400005,-0.8299986,-0.4599965,-0.24000062,-0.07999493,-0.26999637,-0.24999557
-0.19000144,-1.3299963,-0.22999638,-0.9300002,-0.06999354,-1.7100002,0.65999746,-0.65000176,-0.3799979,-1.139998,0.25000602,0.13000612,-1.1500018,-0.37999684,-0.93999755,-0.7799963,-0.6500094,0.28000584,0.380003,1.2400203
-0.6100108,-1.3999983,0.030004922,-1.0200006,0.42999846,-1.9400021,0.42000395,-1.1300014,0.65999913,-0.46999687,0.5100039,1.0199939,-1.3300016,-0.4000001,-0.76999843,-0.9100015,-0.27000415,0.090004906,0.6000006,0.6400051
-1.019999,-0.37999865,0.46000043,-0.6699996,0.100003466,-2.0900004,0.749997,-1.4700001,-0.7400063,0.07000327,0.37000328,0.6099992,-1.3899994,-0.11999716,-0.23999876,0.31000298,-1.6000041,0.17000364,0.24000333,0.38000318
-0.009995462,-1.0799967,-0.2099946,-0.36000067,0.7699953,-0.6699995,0.020003946,-0.9799995,0.08000703,-0.9999983,0.81000406,0.29000574,-0.19999905,-0.03999602,-1.3600014,-0.5199946,0.060004964,0.44000491,-0.34999442,0.94999033
-1.2200027,-0.9199972,0.23000285,-0.7499992,0.87998915,-1.8100014,0.80000174,-1.8400013,-0.0899958,-0.84999824,0.9699937,-0.21999371,-1.1099995,-0.5300028,-0.30999762,-0.4699958,-0.38000175,0.050006337,0.17000595,0.70000076
-0.59000146,-0.0599972,0.05000534,-0.24999875,0.43999374,-2.3099997,1.4300158,-1.8700011,-0.37999576,-0.9499992,0.20000362,0.10000521,-1.5399989,0.21000275,-0.35999805,-0.61999553,-1.0300009,-0.25999454,-0.019995041,0.60999626
-0.7600063,-0.18999669,-0.43999887,-1.3000007,0.6799915,-2.1200016,0.4400046,1.2500013,0.2600052,-0.519995,0.71999395,0.4500074,0.84000146,0.57000476,-0.26999968,0.040005066,-0.019997912,0.28000587,-0.11999512,0.37000594
-0.6399988,-0.8899964,-0.1999961,-1.4799975,0.6300022,-1.2700024,0.18002583,0.080002084,0.22000113,-0.6299955,0.37000787,0.23000929,-0.039995603,-0.4199948,-0.32999736,-0.45999494,-0.62999666,0.58999985,0.41000682,0.6600042
